series_type,series_id,forecast_timestamp,forecast_revenue,feature,feature_value,shap_value,direction,base_value
category,Books & Media,2018-09-09,4016.015625,day_of_week,6.0,0.0,neutral,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,is_weekend,1.0,0.0,neutral,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,days_to_month_end,21.0,120.45405578613281,up,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,month_sin,-1.0,48.276737213134766,up,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,month_cos,-1.8369701987210297e-16,-10.088241577148438,down,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,week_sin,-0.9350162426854147,-423.5415344238281,down,3501.25634765625
category,Books & Media,2018-09-09,4016.015625,week_cos,-0.3546048870425359,207.1435089111328,up,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,lag_1,4016.015625,17.567371368408203,up,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,lag_4,3714.48,407.2170104980469,up,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,lag_52,3015.59,442.9680480957031,up,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,rolling_mean_4,3773.5949951171874,269.3614807128906,up,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,rolling_std_4,2134.806165495021,77.00341033935547,up,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,year,2018.0,455.9881896972656,up,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,month,9.0,42.15705108642578,up,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,quarter,3.0,2.879704713821411,up,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,week_of_year,37.0,-249.9704132080078,down,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,day_of_week,6.0,0.0,neutral,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,is_weekend,1.0,0.0,neutral,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,days_to_month_end,14.0,58.55880355834961,up,3501.25634765625
category,Books & Media,2018-09-16,4705.55029296875,month_sin,-1.0,64.74176025390625,up,3501.25634765625
