series_type,series_id,feature,mean_abs_shap,importance_pct,global_rank
region,South,month_sin,235.88625,1.529896,12
region,South,month_cos,56.47167,0.36626038,13
region,South,quarter,0.0,0.0,14
region,South,is_weekend,0.0,0.0,15
region,South,day_of_week,0.0,0.0,16
region,Southeast,lag_1,29919.975,45.066673,1
region,Southeast,rolling_mean_4,15297.437,23.041615,2
region,Southeast,month,4271.419,6.4337835,3
region,Southeast,lag_52,3160.5757,4.7605863,4
region,Southeast,rolling_std_4,2600.2468,3.9165967,5
region,Southeast,week_cos,2343.6375,3.5300813,6
region,Southeast,lag_4,2286.193,3.4435563,7
region,Southeast,week_sin,2283.0623,3.4388404,8
region,Southeast,days_to_month_end,1854.7244,2.7936606,9
region,Southeast,week_of_year,1260.0559,1.897947,10
region,Southeast,year,475.84344,0.7167346,11
region,Southeast,month_sin,343.0843,0.5167674,12
region,Southeast,month_cos,294.21735,0.44316202,13
region,Southeast,quarter,0.0,0.0,14
region,Southeast,is_weekend,0.0,0.0,15
region,Southeast,day_of_week,0.0,0.0,16
